"title","stars","text","publishedAtDate","name","reviewerNumberOfReviews","isLocalGuide","reviewUrl","reviewerUrl","responseFromOwnerText","responseFromOwnerDate","originalLanguage","likesCount","visitedIn"
"Lardo & Rosemary","5","Me encanta visitarlos. Muy buena atención, una carta muy buena y buenas recomendaciones. Me gusta la mesa común con sus divisiones, solo hay que considerar que las sillas en ese espacio no tienen respaldo. El único inconveniente con el que suelo encontrarme es el horario de las reservas, o muy temprano o muy tarde.","2026-02-17T13:28:30.672Z","Alejandra Ruggero","35","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xweldIZEJaMGhXWWtONk9UQktVWGxvVkdOeFpWRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOlpzWHdBZ0hWYkN6OTBKUXloVGNxZVE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/104645567385174235527?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Ame este lugar! Para volver una y otra vez! Comida con sabores increíbles, atención perfecto. Un lugar para compartir con amigos, pareja y FLIA.","2026-02-17T11:07:46.334Z","Andrea Caleffa","121","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21keGJqTkdZaTFxUVRSdmFYaHdPRlJDWkVGS1UyYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOmdxbjNGYi1qQTRvaXhwOFRCZEFKU2c%7C%7C?hl=es-419","https://www.google.com/maps/contrib/115991830071359093556?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Me encanta Lardo para una cena romántica o con amigas. Las papas fritas son un mil y las pido cada vez que voy. El postre de banana y dulce de leche no se destacó. Siempre recomiendo hacer reserva, y hay que tener en cuenta que las mesas te las dan por un tiempo limitado (si no me equivoco es 2hs).","2026-02-17T01:44:30.440Z","PM","292","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paNGNVaGpRbWhqWmtkQkxVbDJTVUUyVkRsS1NsRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOjZ4cUhjQmhjZkdBLUl2SUE2VDlKSlE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/104121567584618121047?hl=es-419",,,"es","0",
"Lardo & Rosemary","1",,"2026-02-16T21:23:02.142Z","ESTUDIO CIOCCIO","148","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2taNVIxcENUbk5RTVc1bVdWSmtWVWhXY0cxRlozYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOkZ5R1pCTnNQMW5mWVJkVUhWcG1FZ3c%7C%7C?hl=es-419","https://www.google.com/maps/contrib/104205389137188426143?hl=es-419",,,,"0",
"Lardo & Rosemary","5","Que rico todo! Sorprendente. Vegeta friendly y atención 1000. Volveremos por lo que no probamos y por la buena onda :) vinito rico y excelente clima","2026-02-07T02:54:50.400Z","Maria Agustina Boaventura Dubovik","58","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pJd05FVXlabFpRVHpaWlZFNXBTamRuZGpkeFNWRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOjIwNEUyZlZQTzZZVE5pSjdndjdxSVE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/107157304212682957596?hl=es-419",,,"es","0",
"Lardo & Rosemary","5","Excelente lugar","2026-02-05T16:14:19.367Z","Sofia Melina","8","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKTGQwUjFOa2hLZGxCd1pITkZha1ZIYWtKV1oyYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOkJLd0R1NkhKdlBwZHNFakVHakJWZ2c%7C%7C?hl=es-419","https://www.google.com/maps/contrib/113665105533775000172?hl=es-419",,,"es","0",
"Lardo & Rosemary","4",,"2026-02-01T00:17:04.226Z","fran leius","3","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkVWJ6bG9lVXhuVnpjMWEyOWZaMVI2YzAxR2EwRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOldUbzloeUxnVzc1a29fZ1R6c01Ga0E%7C%7C?hl=es-419","https://www.google.com/maps/contrib/103197880238106063242?hl=es-419",,,,"0",
"Lardo & Rosemary","5",,"2026-01-28T12:47:36.430Z","Bautista P","30","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCZldXWnZMVmxHVEdGcVVVZEZibXQ0U25FdFFuYxAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOjBfWWZvLVlGTGFqUUdFbmt4SnEtQnc%7C%7C?hl=es-419","https://www.google.com/maps/contrib/118411838277583057812?hl=es-419",,,,"0",
"Lardo & Rosemary","4","Muy rico, un poco caro y se pasa de cool. Lindo ambiente. Conviene ir con reserva.","2026-01-27T04:43:54.633Z","Michari Arichi","31","true","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sTldtZEhSbUZRT1U1dWRrcGtkV1psTWxZM1VFRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOnlNWmdHRmFQOU5udkpkdWZlMlY3UEE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/109776286644229337888?hl=es-419",,,"es","0",
"Lardo & Rosemary","4",,"2026-01-25T11:47:22.206Z","Sandra Morley","4","false","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tOeVdYcDRhRXBZTFdOZmNVOVdVbVF5YlhGcWNFRRAB!2m1!1s0x0:0x5344f4ed57e92227!3m1!1s2@1:CAIQACodChtycF9oOkNyWXp4aEpYLWNfcU9WUmQybXFqcEE%7C%7C?hl=es-419","https://www.google.com/maps/contrib/117639270867133127926?hl=es-419",,,,"0",
